100,BEGIN,1
100,1,"RECEPTION AREA",0,1
100,2,"MAIN OFFICE",0,1
100,3,"ROOF VOID",0,1
100,4,"LIFT SHAFT",0,1
100,5,"WORKSHOP",0,1
100,6,"PLANT ROOM",0,1
100,7,"GRD ELECTRIC",0,1
100,8,"KITCHEN",0,1
100,9,"GRD OFFICES",0,1
100,10,"LIFT ROOM",0,1
100,11,"REAR STAIRS",0,1
100,12,"LONG STORE",0,1
100,13,"TIN SHED",0,1
100,201,System Zone
100,202,System Zone
100,203,System Zone
100,204,System Zone
100,205,System Zone
100,206,System Zone
100,207,System Zone
100,208,System Zone
100,209,System Zone
100,210,ABUS Devices
100,END,1
