15,BEGIN,1
15,1,1,1
15,2,1,1
15,3,0,1
15,4,0,1
15,5,0,1
15,6,0,1
15,7,0,1
15,8,0,1
15,9,1,1
15,10,0,1
15,11,0,1
15,12,0,1
15,13,0,1
15,14,0,1
15,15,0,1
15,16,0,1
15,17,0,1
15,18,0,1
15,19,0,1
15,20,0,1
15,21,0,1
15,22,0,1
15,23,0,1
15,24,0,1
15,25,1,1
15,26,1,1
15,27,1,1
15,28,1,1
15,29,1,1
15,30,1,1
15,31,1,1
15,32,1,1
15,33,1,1
15,34,1,1
15,35,1,1
15,36,1,1
15,37,1,1
15,38,1,1
15,39,1,1
15,40,1,1
15,41,1,1
15,42,1,1
15,43,1,1
15,44,1,1
15,45,1,1
15,46,1,1
15,47,1,1
15,48,1,1
15,49,1,1
15,50,1,1
15,51,1,1
15,52,1,1
15,53,1,1
15,54,1,1
15,55,1,1
15,56,1,1
15,57,1,1
15,58,1,1
15,59,1,1
15,60,1,1
15,61,1,1
15,62,1,1
15,63,1,1
15,64,1,1
15,65,1,1
15,66,1,1
15,67,1,1
15,68,1,1
15,69,1,1
15,70,1,1
15,71,1,1
15,72,1,1
15,73,1,1
15,74,1,1
15,75,1,1
15,76,1,1
15,77,1,1
15,78,1,1
15,79,1,1
15,80,1,1
15,81,1,1
15,82,1,1
15,83,1,1
15,84,1,1
15,85,1,1
15,86,1,1
15,87,1,1
15,88,1,1
15,89,1,1
15,90,1,1
15,91,1,1
15,92,1,1
15,93,1,1
15,94,1,1
15,95,1,1
15,96,1,1
15,97,1,1
15,98,1,1
15,99,1,1
15,100,1,1
15,101,1,1
15,102,1,1
15,103,1,1
15,104,1,1
15,105,1,1
15,106,1,1
15,107,1,1
15,108,1,1
15,109,1,1
15,110,1,1
15,111,1,1
15,112,1,1
15,113,1,1
15,114,1,1
15,115,1,1
15,116,1,1
15,117,1,1
15,118,1,1
15,119,1,1
15,120,1,1
15,121,1,1
15,122,1,1
15,123,1,1
15,124,1,1
15,125,1,1
15,126,1,1
15,127,1,1
15,128,1,1
15,129,1,1
15,130,1,1
15,131,1,1
15,132,1,1
15,133,1,1
15,134,1,1
15,135,1,1
15,136,1,1
15,137,1,1
15,138,1,1
15,139,1,1
15,140,1,1
15,141,1,1
15,142,1,1
15,143,1,1
15,144,1,1
15,145,1,1
15,146,1,1
15,147,1,1
15,148,1,1
15,149,1,1
15,150,1,1
15,151,1,1
15,152,1,1
15,153,1,1
15,154,1,1
15,155,1,1
15,156,1,1
15,157,1,1
15,158,1,1
15,159,1,1
15,160,1,1
15,161,1,1
15,162,1,1
15,163,1,1
15,164,1,1
15,165,1,1
15,166,1,1
15,167,1,1
15,168,1,1
15,169,1,1
15,170,1,1
15,171,1,1
15,172,1,1
15,173,1,1
15,174,1,1
15,175,1,1
15,176,1,1
15,177,1,1
15,178,1,1
15,179,1,1
15,180,1,1
15,181,1,1
15,182,1,1
15,183,1,1
15,184,1,1
15,185,1,1
15,186,1,1
15,187,1,1
15,188,1,1
15,189,1,1
15,190,1,1
15,191,1,1
15,192,1,1
15,193,1,1
15,194,1,1
15,195,1,1
15,196,1,1
15,197,1,1
15,198,1,1
15,199,1,1
15,200,1,1
15,201,1,1
15,202,1,1
15,203,1,1
15,204,1,1
15,END,1
